strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_type	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
ERR3891059	Klebsiella pneumoniae	strong	410	163073	376629	5568903	no	-	ST14	1	0	4	4	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.73%		O1/O2v1	O1	?-	Good	99.98%	O1/O2v1_06_wbbO	aac(6')-Ib-cr.v2;sat-2	-	-	-	-	-	-	-	-	-	-	dfrA1.v1	OXA-1	-	-	-	-	SHV-28.v1^	-	OmpK35-88%;OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	CatB4.v1?-81%	OXA-232?-0%;OXA-48*?-0%	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67*	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891060	Klebsiella pneumoniae	strong	23149	734	7111	8613702	no	total_size,N50	ST14-2LV	0	2	7	10	-	0	-	0	-	0	-	0	-	0	-	-	unknown (KL2)	unknown (K2)	?-+	None	99.26%	KL2_01_galF,KL2_03_wzi,KL2_08,KL2_10,KL2_12,KL2_13,KL2_15_gnd,KL2_16_manC,KL2_17_manB,KL2_18_ugd	O1/O2v1	O2a	?-	Good	99.99%	O1/O2v1_04_glf,O1/O2v1_07_kfoC	aac(6')-Ib-cr.v2;aph(3')-VI;armA;sat-2;strA.v1*	-	-	-	-	msrE	-	arr-2	-	-	-	dfrA12	OXA-1	-	-	-	NDM-1	-	-	OmpK36GD	-	ParC-80I	CatB4.v1?-86%;aac(3)-IId?-82%;dfrA1.v1?-90%;mphE.v2*?-0%;sul2?-82%	OXA-181*?-66%;aadA24*?-0%;aadA2?-0%;aph(6)-Id.v1?-0%;cmlA5?-0%;sul1?-47%	ST14-2LV	1*	6	1	1	1	1*	1	4*-0%	-	-	-	1	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	irp2_220*-0%;ybtP_120*-0%;ybtT_42*-75%;fyuA_161*-0%;ybtU_13*-56%
ERR3891061	Klebsiella pneumoniae	strong	18280	979	14050	7965142	no	total_size,N50	ST2096-3LV	1	0	8	11	ybt unknown	0	-	0	-	0	-	0	-	0	rmpA2_8-60%	wzi64	unknown (KL64)	unknown (K64)	?-+	None	98.45%	KL64_01_galF,KL64_03_wzi,KL64_04_wza,KL64_18_manC,KL64_19_manB,KL64_20_rmlB,KL64_21_rmlA	O1/O2v1	O1	?-	Good	98.60%	O1/O2v1_03_wbbM,O1/O2v1_06_wbbO	aadA2^;armA*	-	-	-	-	mphE.v2^	CatB4.v1?;catA1^	-	sul1	tet(D)	-	dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	-	-	-	-	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	aac(6')-Ib-cr.v2?-86%;sat-2?-0%	CTX-M-114?-0%;OXA-181?-0%;SHV-106?-42%;SHV-212?-0%;dfrA1.v1?-0%;dfrA1.v1?-52%;msrE?-0%	ST2096-3LV	1	145*	-	1*	1	46	1	4*-0%	100*-0%	-	-	39*	-	-	2	4	108*-0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	55-60%	-	-	irp1_245*-0%;fyuA_161*-0%;ybtP_120*-62%;ybtQ_88*-0%;iucD_1*-0%;iutA_1*-0%;iucB_1*-53%
ERR3891062	Klebsiella pneumoniae	strong	533	157595	376754	5859042	no	-	ST2096	4	2	10	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	aac(3)-IId*?-0%;qnrS10?-0%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891063	Klebsiella pneumoniae	strong	284	151846	350003	5693887	no	-	ST14	1	2	9	14	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.74%		O1/O2v1	O1	none	Very high	99.99%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67	514	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891064	Klebsiella pneumoniae	strong	419	203336	412515	5617905	no	-	ST147	0	2	9	10	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O2a	none	Very high	98.62%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA5	-	-	-	-	mphA	CatB4.v1?	-	sul1	-	-	dfrA17	OXA-1	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	-	-	GyrA-83I;ParC-80I	-	TEM-10.v2?-48%	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891065	Klebsiella pneumoniae	strong	438	233282	492670	5714303	no	-	ST101	1	2	7	11	ybt 9; ICEKp3 (truncated)	183-2LV	-	0	-	0	-	0	-	0	-	wzi137	KL17	K17	none	Very high	99.98%		O1/O2v1	O1	none	Very high	98.03%		aac(6')-Ib'.v1;aadA*;aph(3')-VI	-	-	qnrS1	-	mphA	-	-	-	tet(D)	-	-	OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1;OXA-48	SHV-1^	-	OmpK35-17%;OmpK36GD	-	GyrA-83Y;GyrA-87N;ParC-80I	-	-	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25*-9%	37	9	5	107	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891066	Klebsiella pneumoniae	strong	29337	529	9001	9542509	no	total_size,N50	ST2096-3LV	0	0	7	10	-	0	-	0	-	0	-	0	-	0	rmpA2_8-60%	-	unknown (KL64)	unknown (K64)	?-+	None	99.08%	KL64_01_galF,KL64_03_wzi,KL64_04_wza,KL64_06_wzc,KL64_13_wcsF,KL64_15_wbaZ,KL64_16_wcaJ,KL64_17_gnd,KL64_18_manC,KL64_20_rmlB,KL64_21_rmlA,KL64_22_rmlD,KL64_23_rmlC,KL64_24_ugd	O1/O2v1	O2a	?-	Good	98.62%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	aadA2^;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	-	-	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	-	-	-	-	-	OmpK35-16%;OmpK36-56%	PmrB-42%	ParC-80I	SHV-106*?-0%;armA*?-0%;tet(D)?-0%	CTX-M-101?-0%;OXA-181?-71%;aac(3)-IIa.v1*?-0%;aac(6')-Ib-Suzhou*?-0%;aac(6')-Ib-cr.v1*?-0%;aadA5?-46%;aph3-Ia.v1*?-0%;ermB.v1*?-57%;mphA?-59%;sul1?-0%;tetR?-0%	ST2096-3LV	1	-	1	1	-	46	-	-	100	-	-	39*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	55-60%	-	-	ybtQ_88*-0%;ybtE_1*-0%;ybtU_52*-0%;ybtT_41*-0%;ybtS_110*-0%;ybtP_112*-0%;iucD_1*-0%;iutA_1*-0%;iucA_1*-52%;iucB_1*-0%
ERR3891067	Klebsiella pneumoniae	strong	22955	813	10856	8697232	no	total_size,N50	0	0	2	7	12	-	0	-	0	-	0	-	0	-	0	-	wzi2	unknown (KL2)	unknown (K2)	?-+	None	99.41%	KL2_01_galF,KL2_02_cpsACP,KL2_11_wzx,KL2_12,KL2_13,KL2_15_gnd,KL2_16_manC	O1/O2v1	O1	?-	Good	99.96%	O1/O2v1_07_kfoC	aadA2^;aph(3')-VI;aph3-Ia.v1*?;armA;sat-2;strB.v1*	-	-	-	-	mphE.v2^	CatB4.v1?	-	-	-	-	dfrA1.v1;dfrA12	OXA-1?	-	-	-	OXA-232	-	-	OmpK35-16%;OmpK36GD	-	ParC-80I	aac(6')-Ib-cr.v2?-90%;sul2?-83%	CTX-M-103?-0%;NDM-1?-0%;SHV-129?-0%;TEM-105?-0%;aac(3)-IId?-66%;aadA24*?-0%;aadA?-0%;aph(3'')-Ib*?-42%;arr-2?-80%;cmlA5?-0%;ereA2*?-0%;msrE?-76%;strA.v1?-0%;sul1?-0%;tet(A).v1?-0%	0	-	6	268*	1	1*	1	-	-	-	-	-	-	-	-	52*-0%	-	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	irp2_228*-0%;ybtP_120*-65%;ybtT_42*-75%;ybtQ_1*-44%;ybtS_100*-42%;ybtA_39*-51%
ERR3891068	Klebsiella pneumoniae	strong	389	157595	521208	5810725	no	-	ST2096	4	2	8	12	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	-	-	OXA-48	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	OXA-181*?-0%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891069	Klebsiella pneumoniae	strong	432	140643	377768	5774810	no	-	ST2096	4	3	10	13	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	MgrB-57%	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891070	Klebsiella pneumoniae	strong	359	163074	524736	5793645	no	-	ST2096	4	2	8	12	ybt 14; ICEKp5 (truncated)	140-2LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2*;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	-	-	OXA-48	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67*-20%	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891071	Klebsiella pneumoniae	strong	44884	319	5595	10923764	no	total_size,N50	0	0	0	6	7	-	0	-	0	-	0	-	0	-	0	rmpA2_8-60%	-	unknown (KL64)	unknown (K64)	?-+	None	98.28%	KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_04_wza,KL64_06_wzc,KL64_07_wzx,KL64_08_wcoV,KL64_09,KL64_10_wzy,KL64_13_wcsF,KL64_14_wcuK,KL64_15_wbaZ,KL64_16_wcaJ,KL64_18_manC,KL64_19_manB,KL64_20_rmlB,KL64_21_rmlA,KL64_22_rmlD,KL64_23_rmlC,KL64_24_ugd	O1/O2v1	O2a	?-	Good	98.58%	O1/O2v1_01_wzm,O1/O2v1_02_wzt,O1/O2v1_04_glf	aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^	CatB4.v1?	-	-	-	-	-	OXA-1	-	-	-	-	-	-	OmpK35-14%;OmpK36-8%	PmrB-41%	GyrA-83Y;GyrA-87G	-	OXA-163?-61%;OXA-245?-0%;SHV-28.v2?-0%;dfrA1.v1?-0%;dfrA1.v1?-41%;dfrA12?-0%;msrE?-0%;msrE?-44%;sul1?-52%	0	1	6	1	-	-	46*	-	4	-	-	120*-85%	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1*-0%	-	-	-	-	-	-	-	-	55-60%	-	-	ybtE_132*-0%;ybtU_52*-0%;ybtA_39*-64%;fyuA_161*-0%;fyuA_308*-41%;ybtQ_88*-0%;ybtX_100*-44%;ybtX_100*-0%;ybtA_71*-0%;iucC_1*-0%;iucB_1*-48%;iucB_1*-0%
ERR3891072	Klebsiella pneumoniae	strong	448	167270	428622	5545027	no	-	ST2096	1	2	5	5	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;sat-2	-	-	-	-	-	-	-	-	-	-	dfrA1.v1	OXA-1	-	-	-	OXA-48	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	CatB4.v1?-81%	dfrA12?-45%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891073	Klebsiella pneumoniae	strong	26841	548	5745	8744186	no	total_size,N50	0	0	0	6	4	-	0	-	0	-	0	-	0	-	0	-	wzi64	unknown (KL64)	unknown (K64)	?-+	None	98.54%	KL64_01_galF,KL64_02_cpsACP,KL64_04_wza,KL64_11_wcoU,KL64_12_wcoT,KL64_13_wcsF,KL64_16_wcaJ,KL64_17_gnd,KL64_18_manC,KL64_19_manB,KL64_20_rmlB,KL64_21_rmlA,KL64_22_rmlD,KL64_24_ugd	O1/O2v1	O2a	?-	Good	98.60%	O1/O2v1_04_glf,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	sat-2	-	-	-	-	-	CatB4.v1	-	-	-	-	dfrA1.v1	OXA-1	-	-	-	-	SHV-28.v1^	-	OmpK35-24%;OmpK36-11%	PmrB-61%	GyrA-83Y;GyrA-87G;ParC-80I	-	OXA-181?-0%;OXA-232?-0%;aac(6')-Ib-cr.v1*?-0%;catA1*?-0%;catA1?-47%	0	1*	6	1	1	-	46*	3*	-	-	-	-	1*-0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	irp2_220*-0%;ybtP_112*-0%;ybtQ_1*-52%;ybtX_100*-0%;ybtS_93*-0%;ybtU_52*-0%;fyuA_161*-0%;ybtT_4*-0%
ERR3891074	Klebsiella pneumoniae	strong	503	124791	354497	6167160	no	-	ST14	1	3	12	25	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.74%		O1/O2v1	O1	none	Very high	99.99%		aac(6')-Ib-cr.v2;aadA*;aadA2;aph(3')-VI;armA;sat-2	mcr-1.1	-	-	-	ereA*;ereA2*;ermB.v1*;mphE.v2^;msrE	CatB4.v1?;catA1^;cmlA5	arr-2	sul1	tet(A).v1	-	dfrA1.v1;dfrA32	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1;OXA-232	-	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	SHV-106*?-0%;aac(3)-IIa.v1?-0%;tet(X6)*-25%	-	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67	514	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891075	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	1245	135739	329385	5831223	no	-	ST3510	0	2	9	15	-	0	-	0	-	0	-	0	-	0	-	-	KL177	unknown (KL177)	-*	High	96.17%	KL177_17	O5	O5	none	High	94.44%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-14^;CTX-M-15	-	KPC-2;OXA-232	OKP-B-3*	-	OmpK35-20%	-	-	-	-	ST3510	42	22	26	64	31	52	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891076	Klebsiella pneumoniae	strong	1229	152565	428912	6079847	no	-	ST2096	4	1	9	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	tetR*?-0%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891077	Klebsiella pneumoniae	strong	1110	115234	268593	5680243	no	-	ST610	1	1	8	12	ybt 9; ICEKp3	209-1LV	-	0	-	0	-	0	-	0	-	wzi305	KL55	K55	*	Very high	96.21%		O3/O3a	O3/O3a	*	Very high	95.50%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v2*	OXA-1^;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11.v1^	35Q	-	-	-	-	OXA-232*?-0%	ST610	4	5	1	29	1	4	23	5	19	6	5	1	51*	48	9	5	5	21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891078	Klebsiella pneumoniae	strong	550	176007	377768	5856933	no	-	ST2096	4	2	10	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	99.99%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	lnuF.v1?-0%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891079	Klebsiella pneumoniae	strong	339	144291	428622	5792427	no	-	ST2096	4	2	8	12	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	99.99%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	-	-	OXA-48	SHV-28.v1^	-	-	-	GyrA-83Y;GyrA-87G;ParC-80I	-	CTX-M-101*?-42%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891080	Klebsiella pneumoniae	strong	497	134543	316721	5740607	no	-	ST14-1LV	0	3	9	13	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.74%		O1/O2v1	O1	?-	Good	99.98%	O1/O2v1_06_wbbO	aac(6')-Ib-cr.v2;aadA2^;armA	-	-	qnrS1	-	lnuF.v1;mphE.v2^;msrE	CatB4.v1?	-	sul1;sul1	-	-	dfrA12	OXA-1	-	-	-	OXA-48	-	-	OmpK36GD	MgrB-60%	GyrA-83Y;GyrA-87G;ParC-80I	aadA23*?-0%	SHV-129?-0%;dfrA14.v1?-0%;tetR?-0%	ST14-1LV	1	6	1	1	1	1*	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ybtT_10*-0%
ERR3891081	Klebsiella pneumoniae	strong	531	160396	361269	5650077	no	-	ST11	1	2	5	6	ybt 9; ICEKp3	183-2LV	-	0	-	0	-	0	-	0	-	wzi50	KL15	K15	?	Good	99.98%		unknown (OL102)	unknown (OL102)	?-	None	76.90%	OL102_01_rfbB,OL102_02_rfbA,OL102_03_rfbD,OL102_04_rfbC,OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	aac(3)-IIa.v1^;aac(6')-Ib;rmtF	-	-	-	-	-	-	arr-2	-	-	-	-	-	-	SHV-12	-	NDM-1	-	238S;240K;35Q	-	-	GyrA-83I;ParC-80I	-	sat-2*?-46%	ST11	3	3	1	1	1	1	4	5	11	6*	5	1	25	37	9	5	5	11*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891082	Klebsiella pneumoniae	strong	31949	475	5987	9511418	no	total_size,N50	ST147-3LV	0	3	7	7	-	0	-	0	-	0	-	0	-	0	-	-	unknown (KL64)	unknown (K64)	?-	None	99.26%	KL64_02_cpsACP,KL64_03_wzi,KL64_04_wza,KL64_06_wzc,KL64_09,KL64_11_wcoU,KL64_14_wcuK,KL64_17_gnd,KL64_18_manC,KL64_19_manB,KL64_20_rmlB,KL64_21_rmlA,KL64_22_rmlD,KL64_23_rmlC	O1/O2v1	O2a	?-	Good	98.61%	O1/O2v1_01_wzm,O1/O2v1_02_wzt	aadA*;aadA2^;aph(3')-VI	-	-	-	-	-	catII.2*	arr-3	-	-	-	dfrA12?	-	-	-	-	NDM-1	-	-	OmpK35-12%;OmpK36-19%	PmrB-20%	ParC-80I	OXA-9.v2?-0%;sul1?-0%	CTX-M-101?-0%;CatB4.v1?-0%;OXA-1?-0%;OXA-232*?-0%;SHV-107?-62%;SHV-161*?-0%;TEM-104?-0%;aac(3)-IIa.v1?-0%;aac(6')-Ib-Suzhou?-0%;aac(6')-Ib-cr.v1?-0%;catB3.v2?-0%;dfrA1.v1?-57%;mphA?-0%;qnrS1?-70%;strA.v1*?-0%;sul2?-61%	ST147-3LV	3	-	6	1	7	-	-	-	11	-	-	1	-	-	9	-	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ybtS_139*-0%;ybtP_136*-64%;ybtQ_88*-0%;ybtQ_102*-47%;ybtT_42*-0%;ybtT_42*-46%
ERR3891083	Klebsiella pneumoniae	strong	509	129422	444637	5976547	no	-	ST11	1	2	8	12	ybt 8; ICEKp9	554-3LV	-	0	-	0	-	0	-	0	-	wzi14	KL14	K14	none	Very high	99.95%		O3b	O3b	none	Very high	99.27%		aac(6')-Ib-cr.v2;aadA2^;strA.v1*;strB.v1*	-	-	qnrS1	-	mphA	-	-	sul1;sul2	-	-	dfrA12	CMY-2.v2	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	-	-	GyrA-83I;GyrA-87G;ParC-80I	-	CatB4.v1?-47%;OXA-1?-0%	ST11	3	3	1	1	1	1	4	5	11*	6	5	1	507*	98*	9	29	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891084	Klebsiella pneumoniae	strong	660	188274	414238	5681146	no	-	ST353	1	0	3	4	ybt 10; ICEKp4	84-1LV	-	0	-	0	-	0	-	0	-	wzi346	KL110	unknown (KL110)	?-	Good	99.12%	KL110_16_wcpZ,KL110_18_manC	O3b	O3b	?-	Good	99.13%	O3b_01_manC	aac(3)-IId^;aadA17*	-	-	qnrS1	-	lnuF.v1	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	-	CatB4.v1?-55%;OXA-1?-0%;OXA-232?-0%;sul1?-0%	ST353	3	9	47	1	13	1	16	3	12	4	3	14	50	46	3	15	8	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
